Code,Division,Code,District,Code,Upazila/City Corporation,Code,Union / Municipality / City Corporation Ward
30,Dhaka,93,TANGAIL,66,MIRZAPUR,748,TARAFPUR
30,Dhaka,29,FARIDPUR,10,BHANGA,747,TUZARPUR
30,Dhaka,56,MANIKGANJ,28,HARIRAMPUR,109,AZIMNAGAR
20,Chittagong,30,FENI,14,CHHAGALNAIYA,707,SHUBHAPUR
30,Dhaka,54,MADARIPUR,40,KALKINI,455,KAZIBAKAI
30,Dhaka,54,MADARIPUR,80,RAJOIR,613,PAIKPARA
50,Rajshahi,88,SIRAJGANJ,27,CHOUHALI,707,SADIA CHANDPUR
60,Sylhet,90,SUNAMGANJ,23,CHHATAK,194,CHHATAK
40,Khulna,47,KHULNA,64,PAIKGACHHA,478,LASKAR
55,Rangpur,32,GAIBANDHA,24,GAIBANDHA SADAR,310,GHAGOA
20,Chittagong,84,RANGAMATI,47,JURACHHARI,209,DUMDUMYA
20,Chittagong,12,BRAHMANBARIA,94,SARAIL,608,PAKSHIMUL
20,Chittagong,30,FENI,94,SONAGAZI,186,CHAR DARBESH
40,Khulna,65,NARAIL,76,NARAIL SADAR,721,SHEIKHHATI
50,Rajshahi,70,CHAPAINABABGANJ,66,CHAPAINAWABGANJ SADAR,548,NARAYANPUR
20,Chittagong,51,LAKSHMIPUR,43,LAKSHMIPUR SADAR,215,DAKKHIN HAMCHADI
55,Rangpur,32,GAIBANDHA,21,FULCHHARI,275,FAZLUPUR
40,Khulna,18,CHUADANGA,23,CHUADANGA SADAR,509,MAKHALDANGA
30,Dhaka,93,TANGAIL,38,GOPALPUR,050,GOPALPUR POURASABHA
45,Mymensingh,72,NETRAKONA,74,NETRAKONA SADAR,679,ROUHA
50,Rajshahi,76,PABNA,39,ISHWARDI,607,PAKSHI
45,Mymensingh,61,MYMENSINGH,13,BHALUKA,151,BHARADOBA
30,Dhaka,26,DHAKA,20,DHAKA SOUTH CITY CORPORATION,034,WARD NO. 34 (70)
55,Rangpur,27,DINAJPUR,56,KAHAROLE,672,RAMCHANDRAPUR
55,Rangpur,27,DINAJPUR,77,PARBATIPUR,519,MANMATHPUR
30,Dhaka,54,MADARIPUR,80,RAJOIR,143,BADARPASHA
50,Rajshahi,10,BOGRA,33,DUPCHACHIA,740,TALORA
30,Dhaka,86,SHARIATPUR,14,BHEDARGANJ,194,CHAR KUMARIA
40,Khulna,41,JESSORE,90,SHARSHA,545,NIZAMPUR
30,Dhaka,26,DHAKA,25,DHAKA NORTH CITY CORPORATION,028,WARD NO. 28 (41)
20,Chittagong,22,COXS BAZAR,66,RAMU,243,EIDGAR
10,Barisal,79,PIROJPUR,14,BHANDARIA,377,IKRI
10,Barisal,79,PIROJPUR,58,MATHBARIA,025,MATHBARIA POURASABHA
40,Khulna,87,SATKHIRA,86,SHYAMNAGAR,152,BURI GOALINI
10,Barisal,06,BARISAL,07,BAKERGANJ,176,CHARADI
55,Rangpur,32,GAIBANDHA,82,SADULLAPUR,455,KHORDA KOMARPUR
30,Dhaka,59,MUNSHIGANJ,84,SREENAGAR,109,ATPARA
30,Dhaka,86,SHARIATPUR,69,SHARIATPUR SADAR,678,RUDRAKAR
20,Chittagong,19,COMILLA,67,ADARSHA SADAR,998,COMILLA CANTONMENT
55,Rangpur,27,DINAJPUR,12,BIRGANJ,524,MOHANPUR
30,Dhaka,26,DHAKA,20,DHAKA SOUTH CITY CORPORATION,036,WARD NO. 36 (72)
30,Dhaka,48,KISHOREGANJ,92,TARAIL,409,JAWAR
20,Chittagong,75,NOAKHALI,87,NOAKHALI SADAR,213,DADPUR
55,Rangpur,32,GAIBANDHA,91,SUNDARGANJ,455,KAPASIA
10,Barisal,09,BHOLA,91,TAZUMUDDIN,715,SONAPUR
40,Khulna,50,KUSHTIA,94,MIRPUR,179,CHHATIAN
45,Mymensingh,89,SHERPUR,70,NALITABARI,561,NAYABIL
50,Rajshahi,10,BOGRA,85,SHAJAHANPUR,109,AMRUL
10,Barisal,09,BHOLA,25,CHARFASSON,562,NURABAD
40,Khulna,50,KUSHTIA,39,DAULATPUR,178,CHILMARI
30,Dhaka,59,MUNSHIGANJ,24,GAZARIA,319,GUAGACHHIA
